=== Лог весового прибора ===
Начало записи: 2025-05-24 11:51:20
==============================

[11:51:38] Найдены порты: COM1, COM2, COM4
[11:51:46] Попытка подключения к COM4
[11:51:46] Параметры: 9600 бод, 8 бит, N, 1.0 стоп-бит
[11:51:46] Подключено к COM4
[11:51:46] Отправлен запрос веса (двоичный формат)
[11:51:46] Отправлена команда: Z
[11:51:47] Ошибка отправки команды: Write timeout
[11:51:47] Ошибка отправки запроса веса: Write timeout
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:47] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:48] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:49] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:50] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:51] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:52] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:53] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:54] Отправлен запрос веса (двоичный формат)
[11:51:55] Отправлен запрос веса (двоичный формат)
[11:51:55] Отключено от весового прибора
[11:52:19] Завершение работы программы...
